ID         交易年月  總價(含車)  單價(含車)  權狀   建坪
OFFBF88CA  19-03     2950(2950)  42(42)      71.0   71.0
IFFBF48CA  13-02     2728(3138)  49(42)      75.6   56.2
MFFBF76CA  17-05     2920(3300)  49(40)      81.7   59.8
IFFBF08CA  13-01     2505(2685)  48(43)      62.4   52.7
JFFBF48CA  14-05     4100(4310)  53(50)      86.8   77.9
PFFBF48CA  19-11     3576(4036)  48(41)      98.3   74.7
JFFBF08CA  14-02     3945(4155)  54(49)      84.0   72.8
OFFBF09DA  19-04     2610(2810)  44(40)      71.0   59.3
IFFBF58CA  13-01     3313(3713)  50(44)      85.2   65.8
JFFBF48CA  13-12     3063(3250)  55(49)      67.0   55.8
IFFBF88CA  13-01     2530(2930)  48(41)      72.1   52.6
IFFBF09CA  13-05     3180(3360)  51(50)      67.3   62.1
IFFBF98CA  13-01     2568(2908)  49(41)      71.7   52.2
IFFBF97CA  13-09     3487(3867)  53(50)      76.6   66.1
IFFBF68CA  13-01     3320(3660)  50(42)      86.4   67.0
OFFBF76CA  19-02     2650(2650)  38(38)      70.6   70.6
IFFBF09CA  13-05     3179(3529)  51(49)      71.8   62.1
IFFBF98CA  13-01     2650(3080)  51(43)      71.9   52.4
IFFBF09CA  13-01     2442(2802)  47(39)      71.7   52.2
LFFBF38CA  15-11     3100(3300)  45(43)      76.2   68.2
IFFBF68CA  13-01     3288(3708)  50(44)      85.2   65.8
IFFBF78CA  13-01     2562(2747)  48(44)      62.8   53.1
PFFBF27DA  20-06     2378(2593)  42(37)      69.4   57.1
JFFBF27CA  14-10     4238(4658)  53(46)      101.9  79.3
IFFBF47CA  13-01     3167(3547)  48(41)      85.5   66.1
IFFBF37CA  13-01     2445(2580)  48(43)      60.5   50.8
LFFBF57CA  16-09     2800(2800)  40(40)      70.8   70.8
NFFBF67CA  18-09     2470(2680)  43(38)      69.7   57.5
MFFBF28DA  17-07     3319(3789)  48(41)      91.8   69.6
IFFBF57CA  13-01     2425(2625)  47(43)      61.4   51.6
NFFBF58CA  18-05     2807(3270)  45(38)      85.6   61.7
IFFBF87CA  13-03     2657(2837)  47(43)      65.7   56.0
KFFBF77CA  14-12     3563(3947)  57(46)      86.1   62.1
LFFBF08CA  16-10     3200(3200)  45(45)      70.6   70.6
NFFBF18CA  18-08     3290(3770)  49(41)      91.6   67.0
LFFBF78CA  16-07     2730(2730)  36(36)      75.7   75.7
IFFBF18CA  13-03     2402(2777)  46(39)      71.3   51.9
IFFBF28CA  13-01     2524(2654)  49(43)      61.4   51.7
OFFBF18CA  19-08     3507(3982)  49(39)      101.4  72.2
OFFBF68CA  19-11     2978(3458)  42(37)      94.4   70.2
IFFBF57CA  13-01     3019(3339)  51(42)      79.2   59.7
IFFBF67CA  13-04     2478(2738)  47(38)      72.1   52.6
MFFBF08CA  17-04     3238(3468)  55(49)      71.1   59.3
PFFBF88CA  20-06     3111(3516)  46(38)      91.5   67.8
NFFBF68CA  18-04     3170(3380)  44(40)      84.0   71.7
OFFBF58CA  18-12     2320(2550)  42(37)      69.5   55.9
KFFBF87CA  15-07     3770(3980)  52(49)      81.3   72.5
KFFBF18CA  15-11     4612(5046)  62(51)      98.6   74.9
KFFBF08CA  14-12     3722(4168)  56(46)      89.9   65.9
IFFBF18CA  13-01     2541(2701)  48(43)      62.5   52.8
NFFBF28CA  18-08     2378(2593)  42(37)      69.4   57.1
NFFBF68CA  17-11     2786(3266)  46(38)      85.0   60.3
LFFBF38CA  16-09     2838(2838)  43(43)      65.8   65.8
LFFBF48CA  16-12     3572(3812)  48(43)      88.3   73.8
PFFBF09CA  20-04     2970(3200)  44(40)      79.7   67.8
KFFBF18CA  14-12     3531(3944)  57(46)      85.6   61.7
PFFBF09CA  20-04     3475(3700)  46(43)      86.7   74.9
IFFBF78EA  13-05     2361(2791)  45(39)      71.6   52.1
JFFBF38CA  14-11     3669(3877)  60(53)      73.1   61.1
IFFBF38CA  13-01     2492(2652)  48(43)      61.7   52.0
IFFBF67CA  13-01     3349(3769)  50(44)      86.4   66.9
LFFBF77CA  16-07     3250(3610)  50(45)      80.1   65.1
IFFBF77CA  13-05     3155(3335)  51(50)      66.6   62.1
KFFBF87CA  15-01     2718(2918)  50(44)      65.9   54.6
PFFBF18CA  19-12     4590(4820)  61(54)      88.8   75.7
LFFBF48CA  16-01     2686(2916)  52(42)      69.6   51.9
OFFBF08CA  19-10     2310(2510)  41(37)      68.5   56.3
LFFBF08CA  16-04     3552(4012)  48(39)      102.7  73.6
NFFBF48CA  18-04     2760(3200)  49(40)      80.8   56.3
NFFBF68CA  17-12     2600(3020)  47(38)      79.9   55.3
LFFBF38CA  16-03     3260(3710)  48(35)      106.1  67.4
KFFBF28CA  15-11     4013(4475)  59(49)      91.2   67.6
LFFBF38CA  16-11     4320(4560)  54(49)      92.9   79.9
MFFBF68CA  17-04     3350(3865)  46(38)      101.6  72.5
IFFBF28CA  13-03     3205(3515)  48(41)      86.0   66.6
NFFBF66CA  18-06     4500(5000)  56(47)      106.0  79.9
PFFBF56CA  20-05     2505(2720)  45(40)      67.9   55.6
OFFBF76CA  19-07     3320(3780)  46(39)      97.1   72.5
OFFBF78CA  19-09     3218(3688)  44(38)      97.1   72.5
KFFBF98CA  15-08     3487(3710)  57(51)      73.1   61.1
IFFBF08CA  13-07     2528(2708)  45(41)      65.9   56.2
MFFBF58CA  17-07     4200(4660)  55(46)      101.9  75.7
NFFBF28DA  18-02     2400(2630)  40(37)      71.2   59.4
NFFBF38CA  18-04     2518(2738)  48(42)      65.0   52.7
NFFBF08CA  18-08     2541(2776)  44(40)      69.7   57.5
OFFBF18CA  19-10     2398(2588)  42(37)      69.4   57.1
KFFBF87CA  14-03     3568(3788)  58(54)      70.6   61.7
OFFBF78CA  19-06     3181(3661)  49(41)      89.1   64.5
OFFBF58CA  19-04     3052(3472)  47(39)      89.1   64.5
PFFBF68CA  20-03     2655(2875)  40(37)      78.0   65.9
KFFBF08CA  15-11     4664(5120)  62(52)      99.3   75.7
NFFBF78EA  18-03     2868(3278)  50(40)      81.7   57.7
PFFBF66DA  20-08     3445(3660)  46(42)      87.5   75.7
PFFBF68CA  19-12     3148(3363)  47(42)      79.3   67.5
NFFBF68CA  18-03     2898(3138)  41(38)      82.3   70.2
NFFBF38CA  17-11     2600(2600)  37(37)      71.0   71.0
LFFBF48CA  16-03     3706(4106)  49(41)      99.3   75.7
