ID         交易年月  總價(含車)  單價(含車)  權狀  建坪
OFFBF78DA  19-05     1980(2180)  41(37)      58.8  48.5
KFFBF48DA  15-04     1510(1510)  40(40)      37.4  37.4
JFFBF97CA  14-03     2207(2387)  45(42)      56.4  49.1
KFFBF87CA  15-06     1770(2020)  43(40)      50.5  40.9
PFFBF68CA  20-03     2007(2417)  48(36)      67.2  41.8
JFFBF77CA  13-12     1695(1910)  43(39)      49.4  39.2
IFFBF48CA  13-07     1500(1500)  40(40)      37.7  37.7
JFFBF38CA  13-05     1745(1890)  42(39)      48.7  41.1
IFFBF48DA  13-05     1220(1220)  36(36)      33.7  33.7
KFFBF68CA  15-06     1493(1698)  47(40)      42.5  31.9
LFFBF88DA  16-07     1108(1108)  32(32)      34.3  34.3
HFFBF58CA  12-08     1335(1335)  37(37)      36.2  36.2
JFFBF18CA  14-10     1770(1975)  45(40)      49.4  39.2
PFFBF88DA  20-11     1330(1330)  36(36)      36.8  36.8
KFFBF38CA  15-02     1900(2300)  44(35)      65.0  43.6
IFFBF18CA  13-11     2165(2365)  44(43)      55.5  49.1
LFFBF77DA  15-11     1690(1690)  37(37)      45.7  45.7
IFFBF57CA  13-04     1840(2050)  41(36)      57.3  44.6
PFFBF48CA  20-05     1950(2180)  48(39)      56.1  40.3
HFFBF27CA  12-09     1285(1285)  39(39)      33.3  33.3
KFFBF57CA  15-01     1930(1930)  40(40)      48.2  48.2
PFFBF18CA  19-11     1728(1938)  45(37)      52.3  38.7
MFFBF08CA  17-02     1400(1615)  42(34)      47.9  33.3
PFFBF38CA  20-02     1988(2198)  51(41)      53.6  39.3
IFFBF97CA  13-05     1590(1590)  34(34)      47.2  47.2
IFFBF67CA  13-01     1895(2020)  45(35)      57.0  41.7
KFFBF08DA  15-02     1680(1680)  37(37)      45.7  45.7
KFFBF08CA  15-03     1620(1620)  39(39)      41.6  41.6
KFFBF38CA  15-06     1815(2030)  44(40)      51.0  41.0
MFFBF08CA  16-12     1385(1600)  43(36)      44.4  31.9
KFFBF97CA  15-09     1760(1985)  43(38)      52.0  41.3
MFFBF68CA  17-06     1752(1977)  40(35)      56.6  43.5
KFFBF87CA  15-06     1638(1838)  40(37)      49.2  40.9
KFFBF48CA  15-06     1425(1640)  45(39)      42.5  31.9
PFFBF78CA  19-09     1688(1888)  41(37)      51.2  41.4
