ID         交易年月  總價(含車)  單價(含車)  權狀   建坪 
LFFBF58CA  16-10     2640(2640)  32(32)      81.5   81.5 
KFFBF56CA  15-06     3019(3019)  35(35)      86.4   86.4 
KFFBF56CA  15-05     4767(5277)  46(37)      141.7  104.1
LFFBF38CA  16-11     3000(3000)  31(31)      95.3   95.3 
KFFBF88CA  15-05     5880(5880)  37(37)      159.8  159.8
MFFBF98CA  17-03     3260(3670)  39(37)      100.1  82.9 
IFFBF28CA  13-01     3260(3260)  34(34)      95.4   95.4 
IFFBF18CA  13-05     3320(3320)  32(32)      104.5  104.5
HFFBF87CA  12-10     3040(3040)  32(32)      94.6   94.6 
NFFBF88CA  18-05     5018(5588)  48(39)      141.7  104.1
PFFBF76DA  20-07     3100(3100)  35(35)      88.9   88.9 
OFFBF09CA  19-03     3170(3600)  37(34)      104.4  85.3 
IFFBF78CA  13-04     3803(4135)  46(42)      99.3   82.5 
IFFBF48CA  12-12     3030(3030)  36(36)      83.3   83.3 
JFFBF56CA  14-08     4080(4650)  49(39)      120.3  82.7 
NFFBF66CA  17-12     4171(4621)  49(44)      105.0  85.1 
MFFBF58CA  17-02     3036(3036)  35(35)      87.8   87.8 
HFFBF97CA  12-10     3616(3616)  34(34)      105.2  105.2
PFFBF86DA  20-07     3390(3600)  41(38)      93.7   82.3 
KFFBF58CA  14-12     4813(5173)  47(41)      125.9  102.1
PFFBF56DA  20-11     5000(5000)  47(47)      106.2  106.2
OFFBF17CA  19-07     3810(4480)  46(37)      120.3  82.7 
MFFBF98CA  17-10     2690(2690)  33(33)      82.6   82.6 
OFFBF86CA  19-04     2952(2952)  32(32)      93.5   93.5 
MFFBF96CA  17-04     4585(5245)  44(37)      141.7  104.1
MFFBF09CA  17-07     3809(4239)  45(40)      105.1  85.3 
KFFBF56CA  15-04     5105(5755)  46(42)      136.2  110.2
NFFBF17CA  18-06     4491(5121)  43(36)      141.7  104.1
PFFBF98CA  19-12     4610(5390)  46(39)      138.5  100.9
PFFBF76CA  19-11     4848(5568)  47(39)      141.7  104.1
IFFBF76CA  13-07     4600(4600)  43(43)      107.7  107.7
MFFBF08CA  17-07     2900(2900)  32(32)      90.1   90.1 
LFFBF78CA  16-06     3470(4100)  42(34)      121.2  83.6 
